Country Name,Access to clean fuels and technologies for cooking (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",CO2 emissions (metric tons per capita),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),"Government expenditure on education, total (% of government expenditure)",Heat Index 35,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Methane emissions (metric tons of CO2 equivalent per capita),"Mortality rate, under-5 (per 1,000 live births)",Net migration,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),Political Stability and Absence of Violence/Terrorism: Estimate,Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,"School enrollment, primary (% gross)",Scientific and technical journal articles,Standardised Precipitation-Evapotranspiration Index,Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss (hectares),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Kazakhstan,0.9415322580645161,0.26606511218231327,0.0,0.917354411251889,0.07802684201366679,0.024023895893532328,0.5816574920471845,0.37905844155844154,0.5326567051968799,0.01022587875141686,0.6576206342860589,0.6711629473623912,0.0011201344161299357,0.7865683718421286,0.43095712152957677,0.02134172590632475,0.43793806070725955,0.07332155477031803,0.4558299638692205,0.13133166948138295,0.5597817422497359,0.22163461001656315,0.0037637809667330577,0.0,0.393892528751792,0.8249607375141308,0.016977398187688782,0.3299654146572066,0.4157201463061383,0.004424423979028182,0.15214820236371174,0.21021023394592026,0.00023998056090609706,0.1577770680293836
Kenya,0.31048387096774194,0.021732952632730833,0.07074549939518232,0.5704986632570034,0.45353210814334616,0.012225663207704466,0.01656412070110649,0.325487012987013,0.3881214171600412,0.06231341281979709,0.6911457444498192,0.45390309069094936,0.04676561187342481,0.7200170817225566,0.8593553898968974,0.020800758241810012,0.07874638920802238,0.3109540636042403,0.45213304479330785,0.08094066577192202,0.40517044046766915,0.04114336719395948,0.07004704129528258,0.5216494845360824,0.32361081541409364,0.9676928523832262,0.7535673367357567,0.371951173065891,0.3728913445769225,0.0026065160811656034,1.0,0.1853294784260995,0.0025281517586263486,0.19106426771709428
"Korea, Rep.",1.0,0.0004367356705044213,0.0,0.18156457049866326,0.02871957267637503,0.028318862968326964,0.5091306503915393,0.3417207792207792,0.2831500798797104,0.6597109245942424,0.6456627740472105,0.27456363974816533,0.004107159525809764,0.6391036590847792,0.4138869915583022,0.0535534018816346,0.042881543917253656,0.00795053003533569,0.46566310420977364,0.03205089783265074,0.8022118658692162,0.5075366370885753,0.40651912761184206,0.0,0.23804592184697831,0.7133555036304704,0.03624622435163004,0.780029760244559,0.3900162157870798,0.10822614074273046,0.6359599175838722,0.1049099465509506,0.005796967755369565,0.08673125377053834
Kyrgyz Republic,0.7943548387096774,0.16116621458758973,0.0,0.6225735208648147,0.19808461445812425,0.009877473870070694,0.06260564067088217,0.32305194805194803,0.391598533972371,0.06858289697289562,0.7213824095712473,0.5169704376515678,0.0,0.6047154544637237,0.29176339688452213,0.03138546408168312,0.08067092555545084,0.1360424028268551,0.4543469250871631,0.05821770213114923,0.509740582600189,0.09359403798944893,0.025533704076651793,0.04742268041237113,0.2704240617802474,0.6066049393655233,0.3113217373190293,0.1444928132597998,0.3384501005975328,0.0002780793472780132,0.2506245369094758,0.12003235700385166,6.016225760877085e-06,0.13570389296994217
Lao PDR,0.10383064516129031,0.0601046856470871,0.09061914644170113,0.10996164128792281,0.33435593147606485,0.0023860887334020324,0.12023575988679508,0.2573051948051948,0.4112395451555305,0.7363967680616503,0.6475919506909947,0.14218183797148706,0.10043871931298423,0.4479232221522971,0.60835134147411,0.002875995835876814,0.1232578768752507,0.357773851590106,0.45751390497162053,0.08704794353626846,0.8655899607930138,0.09397331123816074,0.023113210553131404,0.04536082474226805,0.29719021482316127,0.8730079267444657,0.5193209040724924,0.2389030045922145,0.37330741965465675,0.00012237641378278543,0.5532905827964534,0.3347852358000323,0.10614460533391891,0.12669008836367507
Latvia,1.0,0.0008919509230828971,0.0,0.36289666395443454,0.07600492994411029,0.0006279830081084862,0.15925280961857213,0.16477272727272724,0.3087115872568368,0.5624070610161562,0.6608471278597094,0.2682758711188542,0.0,0.8004809853456798,0.23580695124501813,0.0005298623558557595,0.11522639945859814,0.01501766784452297,0.4598250726095787,0.2767049853624995,0.7806688433619742,0.7070082121089938,0.021659433060712288,0.0,0.4411326378539494,0.7830804057081147,0.4541193625663994,0.7145602264092626,0.40226161323615284,0.00218287210992854,0.5958098202311485,0.31386495344364085,0.016184315766288346,0.22208027254338336
Liberia,0.0,0.38433952863284115,1.0,0.22689759386260605,0.747082360456667,0.0,0.005007758993007755,0.9821428571428572,0.2968705948689033,0.8086981188911206,0.6903612830742999,0.2356452304467008,0.0005600672080649678,0.7989301447451225,0.6195360742685548,2.3582595486297986e-05,0.0,0.6537102473498233,0.45765944051076646,0.0,0.5769856316291222,0.06162695999821146,0.039856279558010126,0.7402061855670102,0.10060633280934134,0.8784348189134581,0.9664618268930321,0.20854574605832288,0.09387032721502087,6.972887412952758e-06,0.5213740283451271,0.02156071457146903,0.043396373352264386,0.09343837609567408
Lithuania,1.0,0.00012812831445589823,0.0,0.5281878414506568,0.052252301921283925,0.0009907146948283374,0.20136320739305147,0.15178571428571425,0.2673620900291326,0.3594825984307246,0.642150780024153,0.2714905253424066,0.0,0.819630495369954,0.26079489130133787,0.0010126723853801194,0.12065239525093535,0.011484098939929327,0.4556773097439207,0.37336313761198564,0.8262977118447901,0.6719154426802277,0.03278588293038785,0.0,0.41196055426958755,0.8133461989475992,0.3286116029580252,0.7526462771244731,0.42173503219691566,0.0040784373684651385,0.5957344763915324,0.31910169148197937,0.007565069659538442,0.22399659320770784
Luxembourg,1.0,0.00010833615239739821,0.00035392401957092765,0.5952574683250029,0.0,0.0029655184804114744,0.4870614234863688,0.07224025974025973,0.41170942580584524,0.3519912924069309,0.6205696340150454,0.20981186142317612,0.0,0.7217477299289756,0.3751323210674862,0.0023543677553599343,0.09772261873943895,0.0061837455830388716,0.4711618165366338,0.11969760305394692,0.9344654249040609,0.46203157572007403,0.1897553383100284,0.0,0.5007451564828609,0.8446131496239526,0.214977606499323,0.9478833575184702,0.38771723211383746,0.001402849387572941,0.716137269025735,1.0,0.00035261767654029585,0.1798857305085347
Madagascar,0.008064516129032258,0.09789855863333523,0.31714839456738186,0.8118098337789145,0.47092159010199414,0.0024698993834291385,0.005153261204344804,0.6777597402597403,0.3273188610093035,0.21686395949755016,0.6697591117875326,0.31057100647226976,0.003547092317744796,0.997280409961341,0.7450522502240299,0.006952667083290086,0.07282437877854686,0.5653710247349824,0.46507621632908747,0.05005161464431125,0.5138390361549416,0.05700927846161769,0.03660887207780702,1.0,0.23623927912278814,0.9435793981694951,0.8694927611707114,0.20107889340955354,0.8443831838296599,0.00023270331976631416,0.39389282351952126,0.055130913126957934,0.0785050614841561,0.056886333794669786
